# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Thu Jun 20 19:26:42 2024
#
# User preference: *
#
# CONSTRAINT:  where (pl_orbsmaxstr not null
# CONSTRAINT:  and st_lumstr not null)
#
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbpererr1:  Orbital Period Upper Unc. [days]
# COLUMN pl_orbpererr2:  Orbital Period Lower Unc. [days]
# COLUMN pl_orbperlim:   Orbital Period Limit Flag
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [au]
# COLUMN pl_orbsmaxerr1: Orbit Semi-Major Axis Upper Unc. [au]
# COLUMN pl_orbsmaxerr2: Orbit Semi-Major Axis Lower Unc. [au]
# COLUMN pl_orbsmaxlim:  Orbit Semi-Major Axis Limit Flag
# COLUMN pl_rade:        Planet Radius [Earth Radius]
# COLUMN pl_radeerr1:    Planet Radius Upper Unc. [Earth Radius]
# COLUMN pl_radeerr2:    Planet Radius Lower Unc. [Earth Radius]
# COLUMN pl_radelim:     Planet Radius Limit Flag
# COLUMN pl_masse:       Planet Mass [Earth Mass]
# COLUMN pl_masseerr1:   Planet Mass [Earth Mass] Upper Unc.
# COLUMN pl_masseerr2:   Planet Mass [Earth Mass] Lower Unc.
# COLUMN pl_masselim:    Planet Mass [Earth Mass] Limit Flag
# COLUMN pl_orbeccen:    Eccentricity
# COLUMN pl_orbeccenerr1: Eccentricity Upper Unc.
# COLUMN pl_orbeccenerr2: Eccentricity Lower Unc.
# COLUMN pl_orbeccenlim: Eccentricity Limit Flag
# COLUMN pl_orbincl:     Inclination [deg]
# COLUMN pl_orbinclerr1: Inclination Upper Unc. [deg]
# COLUMN pl_orbinclerr2: Inclination Lower Unc. [deg]
# COLUMN pl_orbincllim:  Inclination Limit Flag
# COLUMN st_rad:         Stellar Radius [Solar Radius]
# COLUMN st_raderr1:     Stellar Radius Upper Unc. [Solar Radius]
# COLUMN st_raderr2:     Stellar Radius Lower Unc. [Solar Radius]
# COLUMN st_radlim:      Stellar Radius Limit Flag
# COLUMN st_mass:        Stellar Mass [Solar mass]
# COLUMN st_masserr1:    Stellar Mass Upper Unc. [Solar mass]
# COLUMN st_masserr2:    Stellar Mass Lower Unc. [Solar mass]
# COLUMN st_masslim:     Stellar Mass Limit Flag
# COLUMN st_lum:         Stellar Luminosity [log(Solar)]
# COLUMN st_lumerr1:     Stellar Luminosity Upper Unc. [log(Solar)]
# COLUMN st_lumerr2:     Stellar Luminosity Lower Unc. [log(Solar)]
# COLUMN st_lumlim:      Stellar Luminosity Limit Flag
#
pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_masse,pl_masseerr1,pl_masseerr2,pl_masselim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_orbincllim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_lum,st_lumerr1,st_lumerr2,st_lumlim
2.54955510,0.00000610,-0.00000610,0,0.037270,0.000370,-0.000370,0,13.787,1.255,-0.908,0,378.85336,16.84499,-16.84499,0,0.080000,,,1,87.620,0.920,-0.920,0,1.02,0.05,-0.04,0,1.06,0.03,-0.03,0,-0.018,0.051,-0.058,0
2.10616070,0.00000470,-0.00000470,0,0.031660,0.000340,-0.000340,0,16.029,2.130,-2.130,0,299.07803,22.88376,-22.88376,0,0.108000,,,1,82.280,0.430,-0.590,0,0.98,0.05,-0.05,0,0.95,0.03,-0.03,0,-0.140,0.050,-0.057,0
1.82099930,0.00000160,-0.00000160,0,0.031990,0.000330,-0.000330,0,16.410,0.773,-0.493,0,388.38826,24.79074,-24.79074,0,0.306000,,,1,86.900,1.300,-1.300,0,1.43,0.06,-0.04,0,1.32,0.04,-0.04,0,0.465,0.044,-0.049,0
4.17523870,0.00000220,-0.00000220,0,0.054250,0.000430,-0.000430,0,13.843,0.482,-0.482,0,1022.14128,19.70546,-19.70546,0,0.105000,0.028000,-0.028000,0,87.610,0.230,-0.230,0,1.16,0.04,-0.04,0,1.22,0.03,-0.03,0,0.215,0.043,-0.048,0
4.33153660,0.00000410,-0.00000410,0,0.049130,0.000330,-0.000230,0,6.793,0.179,-0.179,0,31.46517,13.34886,-13.34886,0,0.000000,,,0,89.330,0.450,-0.450,0,0.88,0.02,-0.01,0,0.84,0.02,-0.01,0,-0.256,0.029,-0.022,0
4.37502100,0.00001000,-0.00001000,0,0.050360,0.000300,-0.000230,0,6.882,0.191,-0.191,0,23.51942,3.49613,-3.49613,0,0.000000,,,0,87.210,0.180,-0.180,0,1.10,0.02,-0.02,0,0.89,0.02,-0.01,0,0.072,0.013,-0.014,0
4.57763480,0.00000730,-0.00000730,0,0.060070,0.000580,-0.000580,0,17.598,1.345,-1.345,0,200.23290,41.31790,-41.31790,0,0.275000,,,1,84.980,0.490,-0.490,0,1.62,0.09,-0.09,0,1.38,0.04,-0.04,0,0.640,0.050,-0.056,0
2.51672900,0.00000200,-0.00000200,0,0.036200,0.000200,-0.000200,0,11.433,0.415,-0.415,0,420.47100,8.89900,-8.89900,0,0.013000,0.016000,-0.016000,0,88.500,0.600,-0.600,0,0.93,0.02,-0.02,0,1.00,0.02,-0.02,0,-0.187,0.032,-0.035,0
3.26427360,0.00000580,-0.00000580,0,0.049970,0.000740,-0.000740,0,17.710,1.793,-1.345,0,505.34970,76.27920,-76.27920,0,0.312000,,,1,85.800,1.800,-1.800,0,2.26,0.18,-0.11,0,1.56,0.07,-0.07,0,0.903,0.075,-0.064,0
4.19364900,0.00001300,-0.00001300,0,0.058300,0.001500,-0.001000,0,14.908,3.251,-2.242,0,3082.95100,508.52800,-508.52800,0,0.380000,0.110000,-0.110000,0,80.400,2.300,-4.200,0,1.71,0.36,-0.24,0,1.50,0.12,-0.08,0,0.653,0.166,-0.135,0
2.29210200,0.00000210,-0.00000210,0,0.036890,0.000650,-0.000650,0,15.693,2.802,-1.569,0,597.52040,47.67450,-47.67450,0,0.229000,,,1,85.100,2.100,-2.100,0,1.48,0.20,-0.12,0,1.27,0.07,-0.07,0,0.425,0.110,-0.084,0
4.38884970,0.00000590,-0.00000590,0,0.049440,0.000460,-0.000460,0,13.227,0.560,-0.560,0,82.95363,17.16282,-17.16282,0,0.173000,0.089000,-0.089000,0,89.240,0.290,-0.410,0,0.81,0.03,-0.03,0,0.84,0.02,-0.02,0,-0.398,0.047,-0.053,0
2.74390040,0.00000320,-0.00000320,0,0.036490,0.000300,-0.000300,0,11.960,1.401,-0.796,0,177.98480,34.96130,-34.96130,0,0.279000,,,1,84.650,0.380,-0.380,0,0.85,0.04,-0.04,0,0.86,0.02,-0.02,0,-0.398,0.052,-0.059,0
4.18762440,0.00000560,-0.00000560,0,0.055110,0.000690,-0.000690,0,14.415,1.042,-1.042,0,222.48100,47.67450,-47.67450,0,0.240000,,,1,85.610,0.420,-0.420,0,1.31,0.06,-0.06,0,1.27,0.05,-0.05,0,0.425,0.055,-0.063,0
4.74237290,0.00000490,-0.00000490,0,0.053670,0.000530,-0.000530,0,10.122,0.650,-0.504,0,54.98459,19.70546,-19.70546,0,0.559000,,,1,87.320,0.220,-0.310,0,0.85,0.04,-0.03,0,0.92,0.03,-0.03,0,-0.230,0.049,-0.055,0
3.92280380,0.00000220,-0.00000220,0,0.042690,0.000330,-0.000250,0,12.520,0.157,-0.157,0,117.27927,9.85273,-6.67443,0,0.088000,,,1,87.080,0.061,-0.061,0,0.66,0.01,-0.01,0,0.67,0.02,-0.01,0,-0.796,0.008,-0.009,0
3.13166660,0.00000370,-0.00000370,0,0.037690,0.000110,-0.000110,0,8.967,0.168,-0.168,0,77.23269,6.99226,-9.53490,0,0.162000,,,1,89.580,0.180,-0.180,0,0.72,0.00,0.00,0,0.73,0.01,-0.01,0,-0.709,0.009,-0.009,0
4.14804670,0.00000370,-0.00000370,0,0.045150,0.000160,-0.000160,0,8.575,0.146,-0.146,0,112.19399,12.07754,-8.58141,0,0.071000,,,1,88.270,0.160,-0.110,0,0.70,0.01,-0.01,0,0.71,0.01,-0.01,0,-0.785,0.007,-0.007,0
4.76338700,0.00001000,-0.00001000,0,0.054200,0.000600,-0.000600,0,10.223,0.280,-0.280,0,75.32300,3.81400,-3.91400,0,0.019000,0.019000,-0.019000,0,89.300,0.300,-0.300,0,0.87,0.02,-0.02,0,0.94,0.03,-0.03,0,-0.268,0.031,-0.033,0
3.82970150,0.00000460,-0.00000460,0,0.050460,0.000600,-0.000600,0,12.666,0.841,-0.841,0,123.95370,31.78300,-31.78300,0,0.516000,,,1,87.540,0.660,-0.660,0,1.12,0.06,-0.06,0,1.17,0.04,-0.04,0,0.143,0.067,-0.079,0
3.34887020,0.00000390,-0.00000390,0,0.046390,0.000770,-0.000770,0,15.805,2.130,-2.130,0,244.09344,14.30235,-14.30235,0,0.330000,,,1,87.100,1.600,-1.600,0,1.44,0.18,-0.18,0,1.19,0.06,-0.06,0,0.310,0.102,-0.134,0
1.36665436,0.00000094,-0.00000094,0,0.024980,0.000400,-0.000400,0,15.491,0.964,-0.964,0,711.93920,47.67450,-47.67450,0,0.246000,,,1,84.700,1.100,-1.100,0,1.05,0.06,-0.06,0,1.11,0.05,-0.05,0,0.068,0.075,-0.090,0
3.85377680,0.00000380,-0.00000380,0,0.047530,0.000660,-0.000660,0,15.020,0.628,-0.628,0,189.10885,28.28687,-28.28687,0,0.330000,,,1,88.780,0.550,-0.550,0,1.10,0.03,-0.02,0,0.96,0.04,-0.04,0,0.045,0.041,-0.045,0
2.54417650,0.00000240,-0.00000240,0,0.037000,0.001000,-0.001000,0,11.377,0.269,-0.269,0,239.32479,18.11622,-18.11622,0,0.000000,,,0,83.670,0.340,-0.340,0,1.23,0.02,-0.02,0,1.05,0.05,-0.05,0,0.115,0.016,-0.019,0
2.54418280,0.00000430,-0.00000430,0,0.037630,0.000240,-0.000240,0,11.960,0.583,-0.583,0,241.55080,31.78300,-31.78300,0,0.126000,,,1,83.080,0.360,-0.360,0,1.32,0.04,-0.04,0,1.10,0.02,-0.02,0,0.212,0.029,-0.021,0
4.20420010,0.00000330,-0.00000330,0,0.054120,0.000140,-0.000180,0,14.022,0.291,-0.291,0,292.72143,24.15508,-24.15508,0,0.092000,,,1,86.320,0.084,-0.084,0,1.13,0.01,-0.01,0,1.20,0.01,-0.01,0,0.229,0.014,-0.014,0
4.32479900,0.00002700,-0.00002700,0,0.060430,0.000220,-0.000220,0,18.921,0.437,-0.616,0,191.33366,11.12405,-11.12405,0,0.019000,,,1,83.290,0.210,-0.210,0,2.20,0.04,-0.04,0,1.57,0.02,-0.02,0,0.898,0.017,-0.017,0
2.35062100,0.00000130,-0.00000130,0,0.034930,0.000210,-0.000300,0,12.767,0.314,-0.314,0,1000.21101,23.20159,-23.20159,0,0.028000,,,1,87.880,0.400,-0.400,0,0.96,0.01,-0.01,0,1.03,0.02,-0.03,0,-0.094,0.010,-0.010,0
4.21808960,0.00000890,-0.00000890,0,0.057980,0.000570,-0.000570,0,12.274,0.695,-0.695,0,327.36490,73.10090,-73.10090,0,0.168000,,,1,85.690,0.330,-0.330,0,1.43,0.06,-0.06,0,1.46,0.04,-0.04,0,0.689,0.039,-0.043,0
5.41608100,0.00001600,-0.00001600,0,0.061120,0.000760,-0.000760,0,12.621,0.863,-0.863,0,256.17098,21.93027,-21.93027,0,0.129000,0.049000,-0.049000,0,88.100,0.330,-0.330,0,1.04,0.07,-0.07,0,1.04,0.04,-0.04,0,-0.004,0.065,-0.077,0
1422.00000000,14.00000000,-14.00000000,0,2.504000,0.035000,-0.035000,0,,,,,,,,,0.083000,,,1,,,,,1.04,0.07,-0.07,0,1.04,0.04,-0.04,0,-0.004,0.065,-0.077,0
3.56082900,0.00003200,-0.00003200,0,0.047080,0.000150,-0.000230,0,12.924,0.594,-0.594,0,210.40346,17.48065,-17.48065,0,0.191000,,,0,86.280,0.350,-0.350,0,1.46,0.02,-0.02,0,1.10,0.01,-0.02,0,0.300,0.014,-0.015,0
7.81795300,0.00002400,-0.00002400,0,0.079080,0.000330,-0.000330,0,13.395,0.751,-0.751,0,1080.62200,44.49620,-44.49620,0,0.092000,,,0,87.150,0.180,-0.180,0,1.66,0.02,-0.02,0,1.08,0.01,-0.01,0,0.369,0.012,-0.012,0
3.27688370,0.00000330,-0.00000330,0,0.041630,0.000240,-0.000160,0,11.825,0.280,-0.280,0,56.89157,,,0,0.298000,,,0,87.920,0.350,-0.350,0,0.93,0.02,-0.01,0,0.90,0.01,-0.01,0,-0.173,0.018,-0.012,0
3.05665270,0.00000490,-0.00000490,0,0.040260,0.000280,-0.000280,0,13.529,0.437,-0.437,0,305.11680,38.13960,-38.13960,0,0.136000,,,0,84.860,0.190,-0.190,0,1.07,0.01,-0.01,0,0.93,0.02,-0.02,0,0.012,0.009,-0.009,0
4.90889700,0.00001300,-0.00001300,0,0.065620,0.000390,-0.000390,0,18.820,0.908,-0.908,0,305.11680,63.56600,-63.56600,0,0.151000,,,0,87.240,0.850,-0.850,0,2.11,0.07,-0.07,0,1.56,0.03,-0.03,0,0.867,0.030,-0.032,0
3.10516100,0.00000160,-0.00000160,0,0.044970,0.000330,-0.000330,0,16.825,0.560,-0.560,0,260.93843,26.37989,-26.37989,0,0.062000,,,0,84.820,0.260,-0.260,0,1.31,0.03,-0.03,0,1.26,0.03,-0.03,0,0.377,0.020,-0.021,0
3.14143910,0.00000740,-0.00000740,0,0.047140,0.000250,-0.000250,0,15.816,0.942,-0.942,0,1694.03390,216.12440,-216.12440,0,0.064000,,,0,87.060,0.920,-0.920,0,1.84,0.04,-0.04,0,1.41,0.02,-0.02,0,0.767,0.020,-0.021,0
1.60917880,0.00000400,-0.00000400,0,0.030320,0.000150,-0.000150,0,18.887,0.527,-0.527,0,460.85350,38.13960,-38.13960,0,0.057000,,,0,79.030,0.260,-0.260,0,1.44,0.03,-0.03,0,1.44,0.02,-0.02,0,0.547,0.019,-0.020,0
3.58622020,0.00000470,-0.00000470,0,0.050710,0.000180,-0.000180,0,13.809,0.437,-0.325,0,410.00070,18.75197,-18.75197,0,0.036000,,,0,83.210,0.190,-0.190,0,1.75,0.03,-0.03,0,1.35,0.01,-0.01,0,0.592,0.014,-0.015,0
2.22525770,0.00000190,-0.00000190,0,0.032110,0.000140,-0.000190,0,10.593,0.247,-0.247,0,183.38791,,,0,0.519000,,,0,88.490,0.550,-0.550,0,0.88,0.01,-0.01,0,0.89,0.01,-0.02,0,-0.318,0.008,-0.008,0
3.18531500,0.00000540,-0.00000540,0,0.040120,0.000430,-0.000430,0,6.311,0.516,-0.381,0,38.13960,3.81396,-3.81396,0,0.170000,,,1,87.920,0.750,-0.750,0,0.81,0.05,-0.04,0,0.85,0.03,-0.03,0,-0.434,0.055,-0.047,0
1.88823780,0.00000150,-0.00000150,0,0.036320,0.000740,-0.000870,0,15.513,0.886,-0.829,0,4100.00700,572.09400,-508.52800,0,0.180000,,,1,86.700,1.600,-1.900,0,1.88,0.06,-0.07,0,1.78,0.12,-0.12,0,1.079,0.164,-0.145,0
3.79552020,0.00000100,-0.00000100,0,0.037450,0.000150,-0.000150,0,11.478,0.202,-0.202,0,117.59710,76.27920,-76.27920,0,0.000000,,,0,88.820,0.130,-0.130,0,0.48,0.01,-0.01,0,0.49,0.01,-0.01,0,-1.560,0.010,-0.010,0
7.32794740,0.00000160,-0.00000160,0,0.066517,0.000085,-0.000085,0,8.097,0.036,-0.036,0,39.85588,1.23954,-1.23954,0,0.013000,,,1,89.560,0.070,-0.050,0,0.72,0.00,0.00,0,0.73,0.00,0.00,0,-0.659,0.004,-0.004,0
1.73185606,0.00000055,-0.00000055,0,0.023840,0.000110,-0.000110,0,11.568,0.235,-0.235,0,464.02947,44.49598,-44.49598,0,0.044000,,,1,87.390,0.290,-0.290,0,0.58,0.01,-0.01,0,0.60,0.01,-0.01,0,-1.216,0.011,-0.011,0
2.78865560,0.00000110,-0.00000110,0,0.032742,0.000134,-0.000099,0,9.909,0.146,-0.146,0,156.05375,12.39531,-12.39531,0,0.064000,,,1,88.070,0.150,-0.150,0,0.58,0.00,0.00,0,0.60,0.01,-0.01,0,-1.197,0.005,-0.005,0
1.94164230,0.00000140,-0.00000140,0,0.026580,0.000210,-0.000290,0,12.094,0.347,-0.347,0,835.57088,28.28673,-28.28673,0,0.062000,,,1,88.240,0.590,-0.590,0,0.63,0.01,-0.01,0,0.66,0.02,-0.02,0,-1.038,0.014,-0.014,0
3.08762620,0.00000160,-0.00000160,0,0.036070,0.000250,-0.000250,0,13.058,0.235,-0.235,0,436.69623,31.78284,-23.51930,0,0.045000,,,1,88.440,0.270,-0.270,0,0.64,0.01,-0.01,0,0.66,0.01,-0.01,0,-0.992,0.012,-0.012,0
1.91530730,0.00000520,-0.00000520,0,0.030480,0.000380,-0.000380,0,11.938,1.098,-1.098,0,266.02371,9.21707,-9.21707,0,0.129000,,,1,86.500,1.600,-2.500,0,1.50,0.10,-0.04,0,1.03,0.04,-0.04,0,0.230,0.058,-0.043,0
,,,,53.000000,2.000000,-2.000000,0,77.342,30.264,-32.506,0,2701.54146,1271.31363,-1271.31363,0,,,,,,,,,,,,,2.40,0.10,-0.10,0,1.500,,,0
157.57000000,0.65000000,-0.65000000,0,0.760000,0.020000,-0.040000,0,,,,,,,,,0.085000,0.054000,-0.054000,0,,,,,9.30,1.30,-1.10,0,2.40,0.20,-0.40,0,1.633,0.048,-0.054,0
383.70000000,1.20000000,-1.20000000,0,1.030000,0.030000,-0.030000,0,,,,,,,,,0.360000,0.020000,-0.020000,0,,,,,,,,,1.01,0.10,-0.10,0,0.021,,,0
5.75979000,0.00062000,-0.00062000,0,0.064100,0.001000,-0.001000,0,,,,,,,,,0.045000,0.026000,-0.026000,0,90.000,,,0,,,,,1.06,0.05,-0.05,0,0.173,0.006,-0.006,0
16.35790000,0.00380000,-0.00380000,0,0.128600,0.002000,-0.002000,0,,,,,,,,,0.088000,0.041000,-0.041000,0,90.000,,,0,,,,,1.06,0.05,-0.05,0,0.173,0.006,-0.006,0
49.74500000,0.02200000,-0.02200000,0,0.269900,0.004200,-0.004200,0,,,,,,,,,0.026000,0.036000,-0.036000,0,90.000,,,0,,,,,1.06,0.05,-0.05,0,0.173,0.006,-0.006,0
122.76000000,0.17000000,-0.17000000,0,0.492900,0.007800,-0.007800,0,,,,,,,,,0.135000,0.046000,-0.046000,0,90.000,,,0,,,,,1.06,0.05,-0.05,0,0.173,0.006,-0.006,0
601.20000000,8.10000000,-8.10000000,0,1.422000,0.026000,-0.026000,0,,,,,,,,,0.190000,0.140000,-0.140000,0,90.000,,,0,,,,,1.06,0.05,-0.05,0,0.173,0.006,-0.006,0
2222.00000000,91.00000000,-91.00000000,0,3.400000,0.110000,-0.110000,0,,,,,,,,,0.080000,0.070000,-0.070000,0,90.000,,,0,,,,,1.06,0.05,-0.05,0,0.173,0.006,-0.006,0
70.46000000,0.18000000,-0.18000000,0,0.302000,,,0,,,,,,,,,0.110000,0.020000,-0.020000,0,,,,,,,,,0.74,0.05,-0.05,0,-0.310,,,0
20.67000000,0.04000000,-0.04000000,0,0.149000,,,0,,,,,,,,,0.000000,0.070000,,0,,,,,,,,,1.03,0.05,-0.05,0,0.196,,,0
20.80790000,0.00550000,-0.00550000,0,0.153200,0.008800,-0.008800,0,,,,,,,,,0.106000,0.070000,-0.070000,0,,,,,1.24,0.08,-0.06,0,1.01,0.17,-0.09,0,0.157,0.011,-0.011,0
4.11434000,0.00089000,-0.00089000,0,0.049100,,,0,,,,,,,,,0.140000,,,1,,,,,0.83,0.02,-0.02,0,0.93,0.02,-0.02,0,-0.334,0.031,-0.033,0
778.10000000,7.50000000,-7.50000000,0,2.030000,0.050000,-0.050000,0,,,,,,,,,0.211000,0.042000,-0.042000,0,,,,,6.30,0.10,-0.10,0,1.95,0.14,-0.14,0,1.292,0.011,-0.011,0
6.49500000,0.00040000,-0.00040000,0,0.081000,0.002000,-0.002000,0,,,,,,,,,0.048000,0.027000,-0.027000,0,,,,,4.40,0.10,-0.10,0,1.68,0.11,-0.11,-1,1.064,0.018,-0.019,0
47.84000000,0.03000000,-0.03000000,0,0.249000,0.004000,-0.004000,0,,,,,,,,,0.000000,,,0,,,,,,,,,0.90,,,0,-0.328,0.091,-0.116,0
5.88810000,0.00050000,-0.00050000,0,0.070000,0.001000,-0.001000,0,,,,,,,,,0.090000,0.040000,-0.040000,0,,,,,,,,,1.33,0.03,-0.03,0,0.544,0.036,-0.039,0
1919.00000000,14.00000000,-15.00000000,0,3.270000,0.020000,-0.010000,0,,,,,,,,,0.310000,0.030000,-0.030000,0,,,,,2.22,0.05,-0.05,0,1.28,0.01,-0.01,0,0.786,0.001,-0.001,0
1053.20000000,3.40000000,-3.40000000,0,2.030000,0.550000,-0.550000,0,,,,,,,,,0.090000,0.019000,-0.019000,0,,,,,1.97,0.79,-0.79,0,1.01,0.81,-0.81,0,0.310,0.350,-0.350,0
199.68000000,0.09000000,-0.07000000,0,0.715000,0.000000,0.000000,0,,,,,,,,,0.047000,0.015000,-0.028000,0,,,,,11.12,1.23,-0.74,0,1.22,0.29,-0.23,0,1.770,0.079,-0.092,0
199.50500000,0.08500000,-0.08500000,0,0.950000,,,0,,,,,,,,,0.090000,0.009000,-0.009000,0,,,,,11.00,,,0,2.30,,,0,1.778,,,0
2412.00000000,55.00000000,-52.00000000,0,3.380000,0.050000,-0.050000,0,,,,,,,,,0.000000,,,0,,,,,0.94,0.02,-0.02,0,0.89,0.01,-0.01,0,-0.108,0.022,-0.023,0
1600.00000000,18.00000000,-18.00000000,0,2.703300,0.032800,-0.032800,0,,,,,,,,,0.471000,0.028000,-0.028000,0,,,,,1.05,0.01,-0.01,0,1.03,0.03,-0.03,0,0.108,0.069,-0.069,0
1600.00000000,18.00000000,-18.00000000,0,2.700000,,,0,,,,,,,,,0.471000,0.028000,-0.028000,0,,,,,1.12,0.07,-0.05,0,1.06,0.16,-0.11,0,0.128,0.010,-0.015,0
1535.00000000,4.00000000,-4.00000000,0,2.655000,0.017000,-0.017000,0,,,,,3178.28407,247.90616,-232.01474,0,0.480000,0.010000,-0.010000,0,46.000,4.900,-4.100,0,,,,,1.05,0.02,-0.02,0,0.123,0.010,-0.010,0
2890.00000000,390.00000000,-390.00000000,0,4.300000,0.400000,-0.400000,0,,,,,,,,,0.402000,0.054000,-0.054000,0,,,,,2.50,0.10,-0.10,0,1.32,0.09,-0.09,0,0.756,0.037,-0.040,0
9.55210000,0.00190000,-0.00180000,0,0.090120,0.000830,-0.000850,0,2.230,0.300,-0.250,0,,,,,,,,,88.400,1.100,-2.100,0,1.18,0.11,-0.11,0,1.07,0.03,-0.03,0,0.290,0.077,-0.094,0
9.55385000,0.00095000,-0.00072000,0,0.088870,0.000820,-0.000930,0,2.400,0.120,-0.120,0,,,,,0.310000,,,1,87.620,1.590,-0.440,0,1.28,0.05,-0.06,0,1.03,0.03,-0.03,0,0.350,0.034,-0.032,0
21.05800000,0.00220000,-0.00220000,0,0.150300,0.001500,-0.001500,0,4.400,0.250,-0.270,0,,,,,0.180000,,,1,88.480,0.190,-0.180,0,1.28,0.05,-0.06,0,1.03,0.03,-0.03,0,0.350,0.034,-0.032,0
21.05760000,0.00200000,-0.00190000,0,0.152600,0.001400,-0.001400,0,3.950,0.420,-0.390,0,,,,,,,,,89.420,0.400,-0.670,0,1.18,0.11,-0.11,0,1.07,0.03,-0.03,0,0.290,0.077,-0.094,0
989.20000000,8.10000000,-8.10000000,0,2.015000,0.011000,-0.011000,0,,,,,,,,,0.150000,0.080000,-0.080000,0,,,,,1.10,0.02,-0.02,0,1.11,0.02,-0.02,0,0.149,,,0
3630.00000000,12.00000000,-12.00000000,0,4.590000,0.010000,-0.010000,0,,,,,,,,,0.572000,0.011000,-0.011000,0,,,,,1.62,0.05,-0.05,0,0.97,0.01,-0.01,0,0.090,,,0
3626.00000000,11.00000000,-12.00000000,0,4.480000,0.050000,-0.050000,0,,,,,6006.95689,476.74261,-444.95977,0,0.571000,0.012000,-0.012000,0,29.200,2.400,-2.200,0,,,,,0.89,0.03,-0.03,0,-0.164,0.011,-0.012,0
,,,,650.000000,,,0,,,,,3496.00000,636.00000,-636.00000,0,,,,,,,,,,,,,1.50,0.10,-0.10,0,0.750,0.060,-0.060,0
1076.40000000,2.40000000,-2.40000000,0,2.160000,0.120000,-0.120000,0,,,,,,,,,0.102300,0.009600,-0.009600,0,,,,,1.84,0.06,-0.10,0,0.99,0.11,-0.13,0,0.477,0.011,-0.008,0
10.89850000,0.00450000,-0.00450000,0,0.102000,0.005900,-0.005900,0,,,,,,,,,0.530000,0.120000,-0.120000,0,,,,,1.21,0.06,-0.06,0,1.22,0.22,-0.14,0,0.303,0.014,-0.016,0
10.90100000,0.00100000,-0.00100000,0,0.104000,,,0,,,,,,,,,0.498000,0.025000,-0.025000,0,,,,,,,,,1.27,0.02,-0.02,0,0.286,,,0
3.79596300,0.00002500,-0.00003400,0,0.045270,0.000960,-0.000880,0,1.615,0.051,-0.051,0,,,,,0.045000,0.039000,-0.033000,0,87.590,0.470,-0.350,0,0.88,0.01,-0.01,0,0.87,0.05,-0.05,0,-0.150,0.028,-0.030,0
6.20344900,0.00004900,-0.00004600,0,0.062000,0.001200,-0.001200,0,2.071,0.052,-0.052,0,,,,,0.034000,0.042000,-0.025000,0,88.300,0.290,-0.230,0,0.88,0.01,-0.01,0,0.87,0.05,-0.05,0,-0.150,0.028,-0.030,0
14.17568500,0.00008300,-0.00010000,0,0.107400,0.002300,-0.002300,0,2.539,0.062,-0.065,0,,,,,0.055000,0.038000,-0.035000,0,89.060,0.270,-0.140,0,0.88,0.01,-0.01,0,0.87,0.05,-0.05,0,-0.150,0.028,-0.030,0
19.59002500,0.00008300,-0.00008900,0,0.136700,0.002200,-0.002000,0,3.083,0.052,-0.052,0,,,,,0.058000,0.032000,-0.036000,0,89.245,0.120,-0.086,0,0.88,0.01,-0.01,0,0.87,0.05,-0.05,0,-0.150,0.028,-0.030,0
29.54115000,0.00033000,-0.00042000,0,0.175800,0.004100,-0.003800,0,2.017,0.052,-0.057,0,,,,,0.051000,0.036000,-0.034000,0,88.963,0.042,-0.042,0,0.88,0.01,-0.01,0,0.87,0.05,-0.05,0,-0.150,0.028,-0.030,0
443.40000000,4.20000000,-4.20000000,0,1.400000,0.030000,-0.030000,0,,,,,,,,,0.060000,,,0,,,,,5.60,0.10,-0.10,0,1.85,0.13,-0.13,0,1.225,0.013,-0.013,0
394.48000000,0.60000000,-0.60000000,0,1.053000,0.061000,-0.061000,0,,,,,,,,,0.128000,0.022000,-0.022000,0,,,,,1.09,0.06,-0.03,0,0.97,0.16,-0.09,0,-0.001,0.012,-0.008,0
1680.00000000,24.00000000,-24.00000000,0,2.770000,0.160000,-0.160000,0,,,,,,,,,0.273000,0.040000,-0.040000,0,,,,,1.09,0.06,-0.03,0,0.97,0.16,-0.09,0,-0.001,0.012,-0.008,0
7.85430000,0.00090000,-0.00090000,0,0.079000,0.001000,-0.001000,0,,,,,,,,,0.250000,0.080000,-0.080000,0,,,,,,,,,1.05,0.02,-0.02,0,0.301,0.061,-0.071,0
30.93000000,0.02000000,-0.02000000,0,0.196000,0.003000,-0.003000,0,,,,,,,,,0.150000,0.090000,-0.090000,0,,,,,,,,,1.05,0.02,-0.02,0,0.301,0.061,-0.071,0
5.24000000,0.00200000,-0.00200000,0,0.063500,,,0,,,,,,,,,0.010000,0.010000,-0.010000,0,,,,,1.24,0.10,-0.10,0,1.20,0.10,-0.10,0,0.220,,,0
